time(millisecond),datetime(utc),latitude,longitude
613400,2022-05-13 16:38:25,-34.4373631105052,-59.0519200089703
613500,2022-05-13 16:38:25,-34.437363086175,-59.0519199970248
613600,2022-05-13 16:38:25,-34.43736307939,-59.051919972739
613700,2022-05-13 16:38:25,-34.4373630549571,-59.0519199541247
613800,2022-05-13 16:38:25,-34.4373630361784,-59.0519199361337
613900,2022-05-13 16:38:25,-34.4373630263778,-59.051919912762
614000,2022-05-13 16:38:25,-34.437363011814,-59.0519199070489
614100,2022-05-13 16:38:25,-34.4373629958452,-59.0519199069866
614200,2022-05-13 16:38:26,-34.4373629840913,-59.051919916086
614300,2022-05-13 16:38:26,-34.4373629649699,-59.0519199289664
614400,2022-05-13 16:38:26,-34.4373629549637,-59.0519199580927
614500,2022-05-13 16:38:26,-34.4373629461226,-59.0519199930983
614600,2022-05-13 16:38:26,-34.4373629277208,-59.0519200306385
614700,2022-05-13 16:38:26,-34.4373629000667,-59.0519200602219
614800,2022-05-13 16:38:26,-34.4373628734749,-59.0519200846323
614900,2022-05-13 16:38:26,-34.4373628539423,-59.0519201059058
615000,2022-05-13 16:38:26,-34.4373628309829,-59.0519201211961
615100,2022-05-13 16:38:27,-34.4373628336215,-59.0519201489097
615200,2022-05-13 16:38:27,-34.4373628401324,-59.0519201864083
615300,2022-05-13 16:38:27,-34.4373628633317,-59.0519202269608
615400,2022-05-13 16:38:27,-34.4373628726868,-59.0519202772983
615500,2022-05-13 16:38:27,-34.4373628721385,-59.0519203239171
615600,2022-05-13 16:38:27,-34.4373628725497,-59.0519203654875
615700,2022-05-13 16:38:27,-34.4373628795746,-59.0519204204578
615800,2022-05-13 16:38:27,-34.4373628888954,-59.0519204612804
615900,2022-05-13 16:38:27,-34.4373628993128,-59.0519204878306
616000,2022-05-13 16:38:27,-34.4373629086337,-59.0519205026015
616100,2022-05-13 16:38:28,-34.4373629200106,-59.0519205117009
616200,2022-05-13 16:38:28,-34.4373629329638,-59.0519205127189
616300,2022-05-13 16:38:28,-34.4373629491382,-59.0519205001709
616400,2022-05-13 16:38:28,-34.4373629709325,-59.0519204659962
616500,2022-05-13 16:38:28,-34.4373629934464,-59.051920435104
616600,2022-05-13 16:38:28,-34.4373630201068,-59.05192039746
616700,2022-05-13 16:38:28,-34.437363060063,-59.0519203505919
616800,2022-05-13 16:38:28,-34.4373631057077,-59.0519203229822
616900,2022-05-13 16:38:28,-34.4373631624552,-59.0519203159187
617000,2022-05-13 16:38:28,-34.4373632174207,-59.0519203174353
617100,2022-05-13 16:38:28,-34.437363271084,-59.0519203181832
617200,2022-05-13 16:38:29,-34.4373633113829,-59.051920308232
617300,2022-05-13 16:38:29,-34.4373633336913,-59.051920283136
617400,2022-05-13 16:38:29,-34.4373633490775,-59.0519202497924
617500,2022-05-13 16:38:29,-34.4373633637098,-59.0519202138103
617600,2022-05-13 16:38:29,-34.4373633830711,-59.0519201745251
617700,2022-05-13 16:38:29,-34.4373634093545,-59.0519201389586
617800,2022-05-13 16:38:29,-34.4373634247408,-59.0519200750343
617900,2022-05-13 16:38:29,-34.4373634640117,-59.051920036123
618000,2022-05-13 16:38:29,-34.4373635003355,-59.0519199968378
618100,2022-05-13 16:38:30,-34.4373635369678,-59.0519199543117
618200,2022-05-13 16:38:30,-34.4373635642106,-59.0519199259332
618300,2022-05-13 16:38:30,-34.4373635945719,-59.0519198954773
618400,2022-05-13 16:38:30,-34.4373636247276,-59.0519198622791
618500,2022-05-13 16:38:30,-34.4373636643411,-59.0519198211657
618600,2022-05-13 16:38:30,-34.4373636847304,-59.0519197925587
618700,2022-05-13 16:38:30,-34.4373636928176,-59.0519197572414
618800,2022-05-13 16:38:30,-34.4373636974438,-59.0519197115991
618900,2022-05-13 16:38:30,-34.4373637030294,-59.0519196671409
619000,2022-05-13 16:38:30,-34.4373637116306,-59.0519196264014
619100,2022-05-13 16:38:31,-34.4373637213627,-59.0519195973997
619200,2022-05-13 16:38:31,-34.4373637293471,-59.0519195755446
619300,2022-05-13 16:38:31,-34.4373637294156,-59.0519195697692
619400,2022-05-13 16:38:31,-34.4373637281134,-59.0519195617709
619500,2022-05-13 16:38:31,-34.4373637269826,-59.051919548475
619600,2022-05-13 16:38:31,-34.4373637189297,-59.0519195320213
619700,2022-05-13 16:38:31,-34.4373637119048,-59.0519195187877
619800,2022-05-13 16:38:31,-34.43736369926,-59.0519195091066
619900,2022-05-13 16:38:31,-34.4373636696869,-59.0519194938371
620000,2022-05-13 16:38:31,-34.4373636376808,-59.0519194900353
620100,2022-05-13 16:38:32,-34.4373636107463,-59.0519195041207
620200,2022-05-13 16:38:32,-34.437363591008,-59.0519195333509
620300,2022-05-13 16:38:32,-34.4373635850454,-59.05191956121
620400,2022-05-13 16:38:32,-34.4373635785688,-59.0519195909595
620500,2022-05-13 16:38:32,-34.4373635611265,-59.0519196163672
620600,2022-05-13 16:38:32,-34.4373635466313,-59.0519196406114
620700,2022-05-13 16:38:32,-34.4373635180519,-59.0519196577715
620800,2022-05-13 16:38:32,-34.4373634972514,-59.0519196707142
620900,2022-05-13 16:38:32,-34.4373634792265,-59.0519196660191
621000,2022-05-13 16:38:32,-34.4373634726471,-59.0519196686783
621100,2022-05-13 16:38:33,-34.4373634787811,-59.0519196700494
621200,2022-05-13 16:38:33,-34.4373634860458,-59.051919678484
621300,2022-05-13 16:38:33,-34.4373635049959,-59.0519196814133
621400,2022-05-13 16:38:33,-34.437363512946,-59.0519197158372
